GeneID	classification
AT5G02490	Short Up
AT5G03285	Frequent
AT5G11650	Frequent
AT5G13200	Short Up
AT5G24120	Frequent
AT5G28910	Frequent
AT5G35735	Short–Long Up
AT5G37550	Frequent
AT5G41400	Short–Long Up
AT5G43620	Short Up
AT5G49330	Frequent
AT5G49480	Frequent
AT5G54470	Frequent
AT5G63160	Frequent
AT5G65870	Frequent
AT1G07890	Short–Long Up
AT1G11840	Short–Long Up
AT1G17100	Frequent
AT1G19670	Frequent
AT1G20450	Short Up
AT1G24580	Frequent
AT1G55210	Short–Long Up
AT1G60260	Short–Long Up
AT1G64950	Short–Long Up
AT2G16720	Short Up
AT2G19310	Frequent
AT2G21130	Short–Long Up
AT2G22500	Short Up
AT2G23340	Frequent
AT2G24100	Short Up–Down
AT2G26560	Short–Long Up
AT2G37180	Frequent
AT2G37970	Short Up
AT2G39650	Short Up
AT3G01820	Frequent
AT3G02040	Frequent
AT3G04710	Frequent
AT3G09350	Short Up–Down
AT3G10020	Short Up–Long Down
AT3G17800	Short–Long Up
AT3G23210	Short–Long Up
AT3G57540	Short–Long Up
AT4G02550	Short–Long Up
AT4G05020	Short Up
AT4G12290	Short–Long Up
AT4G13800	Short–Long Up
AT4G24010	Frequent
AT4G33440	Frequent
AT4G36648	Short–Long Up
AT5G12020	Short Up–Down
AT5G12110	Short Up–Down
AT5G13930	Frequent
AT5G20230	Short Up–Long Down
AT5G43380	Short–Long Up
AT5G43400	Short–Long Up
AT5G46710	Short–Long Up
AT5G54960	Short–Long Up
AT5G58770	Frequent
AT5G64550	Short–Long Up
AT1G14360	Short–Long Up
AT1G14980	Short–Long Up
AT1G33560	Short Up
AT1G44350	Short–Long Up
AT1G66540	Short–Long Up
AT1G72900	Short Up
AT1G76590	Short–Long Up
AT1G76600	Short Up
AT1G78510	Frequent
AT2G04530	Short–Long Up
AT2G25140	Short Up–Down
AT2G25620	Frequent
AT2G25690	Short Up
AT2G30040	Short Up
AT2G33590	Short Up
AT2G38470	Short Up–Long Down
AT2G40840	Short–Long Up
AT2G41640	Short Up
AT3G07770	Short–Long Up
AT3G09440	Frequent
AT3G15990	Short Up–Down
AT3G19270	Short–Long Up
AT3G19580	Short Up
AT3G19970	Short Up–Down
AT3G50910	Short–Long Up
AT3G57880	Short Up
AT4G10390	Frequent
AT4G12750	Frequent
AT4G14690	Frequent
AT4G21570	Short Up
AT4G25130	Short–Long Up
AT4G27940	Frequent
AT4G33030	Short–Long Up
AT5G02270	Frequent
AT5G08640	Frequent
AT5G08790	Short Up
AT5G17760	Frequent
AT5G19240	Short Up–Long Down
AT5G24155	Frequent
AT5G42150	Short–Long Up
AT5G42760	Frequent
AT5G45750	Short–Long Up
AT5G48470	Short–Long Up
AT5G52310	Frequent
AT5G53970	Frequent
AT5G64310	Short Up
AT5G66070	Short Up
AT1G01520	Frequent
AT1G01940	Short–Long Up
AT1G04980	Short–Long Up
AT1G07350	Short Up–Down
AT1G09070	Short Up
AT1G09500	Short–Long Up
AT1G10760	Short–Long Up
AT1G10960	Frequent
AT1G19490	Frequent
AT1G24020	Frequent
AT1G28230	Frequent
AT1G31550	Short–Long Up
AT1G51760	Short Up
AT1G52720	Short–Long Up
AT1G62540	Frequent
AT1G64900	Short–Long Up
AT1G66090	Short Up–Long Down
AT1G69870	Short–Long Up
AT1G73010	Short–Long Up
AT1G73480	Short Up–Long Down
AT1G75810	Short–Long Up
AT1G77280	Short–Long Up
AT1G78600	Short Up
AT1G80120	Short Up
AT2G20940	Frequent
AT2G25530	Short Up–Down
AT2G29350	Short Up
AT2G36460	Short Up
AT2G37760	Frequent
AT3G13310	Short–Long Up
AT3G14900	Frequent
AT3G16910	Frequent
AT3G19150	Short–Long Up
AT3G20440	Frequent
