Gene1	Gene2	Correlation	source
AT2G30590	AT1G53350	0.63280881947188	GENIE&WGCNA
AT5G45260	AT3G07540	0.632768030990146	GENIE&WGCNA
AT1G58110	AT5G03330	0.632728661305937	GENIE&WGCNA
AT1G14920	AT5G01880	0.632518615464705	GENIE&WGCNA
AT1G14920	AT4G03420	0.632417451127351	GENIE&WGCNA
AT5G58340	AT1G43910	0.632318655778789	GENIE&WGCNA
AT1G58110	AT2G18760	0.632275315702569	GENIE&WGCNA
AT5G04340	AT3G10800	0.632049804442291	GENIE&WGCNA
AT5G05410	AT3G06660	0.632043219909206	GENIE&WGCNA
AT4G36900	AT3G44100	0.632023815667315	GENIE&WGCNA
AT5G16600	AT1G60870	0.631955317694438	GENIE&WGCNA
AT1G12860	AT5G05250	0.631728556024529	GENIE&WGCNA
AT1G19700	AT2G27820	0.631702948146581	GENIE&WGCNA
AT1G58110	AT4G20780	0.631689337528269	GENIE&WGCNA
AT1G26260	AT5G53050	0.6316722427348	GENIE&WGCNA
AT3G60630	AT2G30710	0.631662907005791	GENIE&WGCNA
AT2G37060	AT1G54290	0.631655611779667	GENIE&WGCNA
AT4G29190	AT5G40910	0.631637750081235	GENIE&WGCNA
AT3G60630	AT4G35310	0.631562175634728	GENIE&WGCNA
AT4G01280	AT2G31010	0.631498139697324	GENIE&WGCNA
AT2G47890	AT1G42540	0.631418349885592	GENIE&WGCNA
AT3G60630	AT1G55200	0.631092351765886	GENIE&WGCNA
AT1G06180	AT3G45780	0.631061469236415	GENIE&WGCNA
AT3G50260	AT4G21650	0.630748367402663	GENIE&WGCNA
AT1G12860	AT3G47350	0.630620675637862	GENIE&WGCNA
AT5G45260	AT2G33540	0.630591767605987	GENIE&WGCNA
AT1G14920	AT5G38690	0.630514102155994	GENIE&WGCNA
AT1G06180	AT1G73990	0.630398610517912	GENIE&WGCNA
AT3G60630	AT1G06515	0.630389127657509	GENIE&WGCNA
AT1G01720	AT1G10470	0.630221473931109	GENIE&WGCNA
AT1G19700	AT1G03870	0.630209885124502	GENIE&WGCNA
AT2G44730	AT4G01395	0.630196457853766	GENIE&WGCNA
AT4G34000	AT2G38280	0.630194220791451	GENIE&WGCNA
AT2G40340	AT3G09690	0.630171226496001	GENIE&WGCNA
AT4G27410	AT2G39330	0.63005020961244	GENIE&WGCNA
AT4G36900	AT3G55640	0.630014586900707	GENIE&WGCNA
AT5G12840	AT1G19020	0.629987757100768	GENIE&WGCNA
AT1G19700	AT1G20330	0.629905725211934	GENIE&WGCNA
AT2G44730	AT4G33270	0.62979559208622	GENIE&WGCNA
AT1G70000	AT4G35000	0.629680788198449	GENIE&WGCNA
AT1G26260	AT1G50420	0.629642565133599	GENIE&WGCNA
AT2G35940	AT2G07050	0.629533625565879	GENIE&WGCNA
AT2G44730	AT4G33260	0.629352719982716	GENIE&WGCNA
AT5G05410	AT1G35660	0.62930035861669	GENIE&WGCNA
AT1G14920	AT4G33040	0.629282118587192	GENIE&WGCNA
AT5G05410	AT1G78150	0.629253091014055	GENIE&WGCNA
AT3G19290	AT5G58650	0.629141517946119	GENIE&WGCNA
AT1G70000	AT5G53970	0.629017044646635	GENIE&WGCNA
AT1G63100	AT5G13980	0.628858775275147	GENIE&WGCNA
AT4G36900	AT1G10410	0.628806209329006	GENIE&WGCNA
AT1G19700	AT1G75770	0.628587990637041	GENIE&WGCNA
AT2G28200	AT1G75420	0.628566718802224	GENIE&WGCNA
AT5G58340	AT3G54960	0.628488523473824	GENIE&WGCNA
AT1G70000	AT3G01210	0.628443475933461	GENIE&WGCNA
AT1G45249	AT3G57240	0.628316649212031	GENIE&WGCNA
AT1G10170	AT5G59320	0.628207633632896	GENIE&WGCNA
AT1G58110	AT1G59960	0.628179329065946	GENIE&WGCNA
AT5G05410	AT4G12400	0.627972832717771	GENIE&WGCNA
AT4G37740	AT4G09630	0.627783677260313	GENIE&WGCNA
AT1G19700	AT1G76570	0.627636857947406	GENIE&WGCNA
AT1G14580	AT4G33200	0.627612163912226	GENIE&WGCNA
AT4G36990	AT5G54890	0.627591086349436	GENIE&WGCNA
