GeneID	classification
AT5G56950	Short–Long Up
AT5G57100	Short–Long Up
AT5G57560	Short Up–Down
AT5G59310	Frequent
AT5G59480	Short–Long Up
AT5G63500	Short Up
ATCG00270	Frequent
AT1G01210	Short–Long Up
AT1G01560	Short Up–Down
AT1G03360	Short–Long Up
AT1G04130	Short–Long Up
AT1G04990	Short–Long Up
AT1G05340	Short–Long Up
AT1G08050	Short–Long Up
AT1G13210	Frequent
AT1G14300	Short–Long Up
AT1G15510	Short–Long Up
AT1G18330	Frequent
AT1G21190	Short–Long Up
AT1G23040	Short–Long Up
AT1G24140	Short Up–Down
AT1G29940	Short–Long Up
AT1G30240	Short–Long Up
AT1G30620	Short–Long Up
AT1G30755	Short Up
AT1G33110	Short–Long Up
AT1G50380	Short–Long Up
AT1G52030	Short–Long Up
AT1G55320	Short–Long Up
AT1G63250	Short–Long Up
AT1G65030	Short–Long Up
AT1G65040	Short Up
AT1G66510	Short–Long Up
AT1G73390	Short Up
AT1G73805	Short Up–Down
AT1G74360	Short–Long Up
AT1G75170	Short–Long Up
AT1G76650	Short–Long Up
AT1G77000	Frequent
AT1G78570	Short–Long Up
AT2G01290	Short Up–Down
AT2G15310	Short–Long Up
AT2G18510	Short–Long Up
AT2G20450	Short Up
AT2G22910	Short–Long Up
AT2G23120	Short–Long Up
AT2G23810	Short Up–Down
AT2G32290	Frequent
AT2G37790	Short–Long Up
AT2G40000	Frequent
AT2G40360	Short–Long Up
AT2G41160	Short–Long Up
AT2G41410	Short–Long Up
AT2G42710	Short–Long Up
AT2G45740	Short–Long Up
AT2G46170	Short Up
AT3G01210	Short–Long Up
AT3G04010	Short–Long Up
AT3G09720	Short–Long Up
AT3G10450	Short–Long Up
AT3G15090	Short–Long Up
AT3G15590	Short–Long Up
AT3G15650	Short–Long Up
AT3G23940	Short–Long Up
AT3G26290	Frequent
AT3G27550	Short–Long Up
AT3G29810	Short–Long Up
AT3G44260	Frequent
AT3G46090	Short Up
AT3G48280	Short–Long Up
AT3G50260	Frequent
AT3G53990	Short Up
AT3G54950	Short–Long Up
AT3G56630	Short–Long Up
AT3G57490	Short–Long Up
AT3G57530	Short Up
AT3G57830	Short–Long Up
AT3G58660	Short–Long Up
AT3G60415	Short Up–Long Down
AT3G60690	Short–Long Up
AT3G61630	Short–Long Up
AT3G61890	Short–Long Up
AT4G00050	Short–Long Up
AT4G00900	Short–Long Up
AT4G01130	Short Up–Down
AT4G03420	Short–Long Up
AT4G04180	Frequent
AT4G05410	Short–Long Up
AT4G11220	Short–Long Up
AT4G14270	Frequent
AT4G15530	Short–Long Up
AT4G15550	Frequent
AT4G16680	Short–Long Up
AT4G17250	Short Up
AT4G17550	Short–Long Up
AT4G17650	Short–Long Up
AT4G17670	Frequent
AT4G18880	Frequent
AT4G19230	Short–Long Up
AT4G20170	Short–Long Up
AT4G21760	Short–Long Up
AT4G23885	Short–Long Up
AT4G24570	Short Up–Down
AT4G27950	Short–Long Up
AT4G30350	Short Up
AT4G31390	Short–Long Up
AT4G34135	Short–Long Up
AT4G34150	Short Up
AT5G01260	Short–Long Up
AT5G08040	Short–Long Up
AT5G10300	Short–Long Up
AT5G11310	Short–Long Up
AT5G11340	Short Up
AT5G12080	Short–Long Up
AT5G13220	Short–Long Up
AT5G13370	Short–Long Up
AT5G14520	Short–Long Up
AT5G15500	Short–Long Up
AT5G15550	Short–Long Up
AT5G16980	Short–Long Up
AT5G17270	Short–Long Up
AT5G20790	Short Up
AT5G25250	Frequent
AT5G27660	Short–Long Up
AT5G37300	Frequent
AT5G37770	Short Up
AT5G41010	Short–Long Up
AT5G42146	Short Up
AT5G42810	Short–Long Up
AT5G43330	Short–Long Up
AT5G43420	Short–Long Up
AT5G48180	Short–Long Up
AT5G53486	Short–Long Up
AT5G54580	Short–Long Up
AT5G55120	Short Up
AT5G60040	Short–Long Up
AT5G60800	Short Up
AT5G61510	Short–Long Up
AT1G05870	Short Up
AT1G07780	Frequent
AT1G09932	Frequent
AT1G10970	Short Up–Down
AT1G13810	Short–Long Up
AT1G16110	Frequent
AT1G20823	Short Up
AT1G21310	Short Up
AT1G21680	Short Up–Down
AT1G27470	Short–Long Up
AT1G29030	Short–Long Up
AT1G29330	Short–Long Up
AT1G29418	Short Up
AT1G30500	Short–Long Up
AT1G33610	Frequent
AT1G34420	Short Up
AT1G44575	Short–Long Up
AT1G45201	Short–Long Up
AT1G51340	Short Up
AT1G51700	Short–Long Up
AT1G62740	Short–Long Up
AT1G64660	Frequent
AT1G70000	Short–Long Up
AT1G70780	Short Up
AT1G71000	Short–Long Up
AT1G72280	Short Up
AT1G74440	Frequent
AT1G75280	Short–Long Up
AT1G80890	Short–Long Up
AT2G01150	Frequent
AT2G15020	Short Up–Down
AT2G17040	Short Up
AT2G22770	Short Up–Down
AT2G23180	Short–Long Up
AT2G24120	Short–Long Up
AT2G24190	Short–Long Up
AT2G29490	Short–Long Up
AT2G30100	Short Up
AT2G32530	Frequent
AT2G34650	Short–Long Up
AT2G34900	Short–Long Up
AT2G36390	Frequent
AT2G37250	Short–Long Up
AT2G40130	Frequent
AT2G40340	Frequent
AT2G41190	Short–Long Up
AT2G41430	Frequent
AT2G45440	Short–Long Up
AT2G46510	Short–Long Up
AT3G02230	Frequent
AT3G04770	Short–Long Up
AT3G05400	Short–Long Up
AT3G05660	Short Up–Down
AT3G07430	Short–Long Up
AT3G07700	Short–Long Up
AT3G08950	Short–Long Up
AT3G11840	Short Up
AT3G13080	Short–Long Up
AT3G17970	Short–Long Up
AT3G18710	Short Up
AT3G18950	Frequent
AT3G19710	Frequent
AT3G21690	Short–Long Up
AT3G22600	Short–Long Up
AT3G24320	Short–Long Up
AT3G25940	Short–Long Up
AT3G27170	Short–Long Up
AT3G29200	Short–Long Up
AT3G44310	Short–Long Up
AT3G46930	Short Up
AT3G47370	Short–Long Up
AT3G47833	Short–Long Up
AT3G51890	Short Up
AT3G55500	Short–Long Up
AT3G56320	Short–Long Up
AT3G57062	Short–Long Up
AT3G57260	Short Up–Down
AT3G57810	Short–Long Up
AT3G58840	Short–Long Up
AT3G60160	Short–Long Up
AT4G00370	Short–Long Up
AT4G02200	Short Up
AT4G03320	Short–Long Up
AT4G09820	Short–Long Up
AT4G11010	Short–Long Up
AT4G11850	Short Up–Down
AT4G13750	Short–Long Up
AT4G16790	Short–Long Up
AT4G17340	Short Up
AT4G17440	Short–Long Up
AT4G17615	Short Up
AT4G18270	Short Up
AT4G19520	Short Up
AT4G21090	Short–Long Up
AT4G21860	Short–Long Up
AT4G23010	Short Up–Down
AT4G26210	Short–Long Up
AT4G26850	Frequent
AT4G28390	Short–Long Up
AT4G28660	Short–Long Up
AT4G28740	Short–Long Up
AT4G30210	Short–Long Up
AT4G33300	Short Up
AT4G33920	Short Up
AT4G35090	Short–Long Up
AT4G35300	Short–Long Up
AT4G36945	Short–Long Up
AT4G37310	Short–Long Up
AT4G37370	Short–Long Up
AT5G01720	Short Up
AT5G04720	Short Up–Down
AT5G06320	Short Up
AT5G08760	Short Up–Long Down
AT5G11090	Short Up
AT5G17010	Short–Long Up
AT5G17170	Short–Long Up
AT5G20070	Short–Long Up
AT5G20220	Short–Long Up
AT5G27600	Short–Long Up
AT5G37540	Short Up
AT5G43450	Short–Long Up
AT5G44490	Short–Long Up
AT5G46170	Short Up
AT5G46500	Frequent
AT5G47120	Short Up
AT5G47220	Short Up–Down
AT5G48530	Short Up
AT5G49520	Short–Long Up
AT5G50915	Frequent
AT5G53050	Short Up
AT5G54060	Short–Long Up
AT5G57050	Short–Long Up
AT5G57150	Short–Long Up
AT5G61770	Short–Long Up
AT5G66600	Short–Long Up
AT5G67140	Short–Long Up
AT1G01010	Short–Long Up
AT1G02220	Short–Long Up
AT1G05100	Short–Long Up
AT1G07000	Short Up–Long Down
AT1G08930	Frequent
AT1G12370	Short–Long Up
AT1G12880	Short–Long Up
AT1G13340	Short–Long Up
AT1G13740	Short Up
AT1G13790	Short–Long Up
AT1G14370	Short Up
AT1G15170	Short–Long Up
AT1G15500	Short–Long Up
AT1G18900	Short–Long Up
AT1G20440	Short Up–Down
AT1G22770	Frequent
AT1G23710	Short Up
AT1G24267	Short–Long Up
AT1G31130	Short Up
AT1G31540	Short Up
AT1G33260	Short–Long Up
AT1G50250	Short–Long Up
AT1G50640	Short Up
AT1G52855	Short Up
AT1G54100	Short–Long Up
AT1G56540	Short Up–Long Down
AT1G58280	Short–Long Up
AT1G59700	Short–Long Up
AT1G60590	Short–Long Up
AT1G61580	Short–Long Up
AT1G62180	Short Up
AT1G62390	Short–Long Up
AT1G64500	Short Up
AT1G68990	Short–Long Up
AT1G70480	Short–Long Up
AT1G72750	Short Up
AT1G74090	Short Up
AT1G74450	Short Up
AT1G75000	Short Up
AT1G75400	Short–Long Up
AT1G75860	Short–Long Up
AT1G76580	Short Up
AT1G77680	Short–Long Up
AT1G78070	Frequent
AT1G78190	Short Up
AT1G80130	Short–Long Up
AT1G80245	Short–Long Up
AT1G80750	Short–Long Up
AT2G03090	Short Up–Down
AT2G15480	Frequent
AT2G18790	Short–Long Up
AT2G20142	Short Up–Down
AT2G21560	Short Up
AT2G26660	Short Up
AT2G27660	Short Up
AT2G30480	Short–Long Up
AT2G31865	Short–Long Up
AT2G36630	Short Up
AT2G39420	Short Up
AT2G41380	Short–Long Up
AT2G42200	Short–Long Up
AT2G43500	Short–Long Up
AT2G43620	Short–Long Up
AT2G43650	Short–Long Up
AT2G46610	Short–Long Up
AT3G01290	Frequent
AT3G02875	Short–Long Up
AT3G03450	Short Up–Down
AT3G03520	Short–Long Up
AT3G03780	Short–Long Up
AT3G04000	Short–Long Up
AT3G06035	Short–Long Up
AT3G10800	Short Up
AT3G23510	Short–Long Up
AT3G24170	Short–Long Up
AT3G25110	Short–Long Up
AT3G25250	Short–Long Up
AT3G25610	Short–Long Up
AT3G27110	Short–Long Up
AT3G44400	Short Up
AT3G44970	Frequent
AT3G46210	Short–Long Up
AT3G46640	Frequent
AT3G47960	Short Up
AT3G49580	Short–Long Up
AT3G49780	Short Up
AT3G60520	Short–Long Up
AT3G61320	Short–Long Up
AT3G61490	Short–Long Up
AT3G61920	Short–Long Up
AT3G62600	Short Up
AT4G01280	Short Up
AT4G01560	Short–Long Up
AT4G02220	Short–Long Up
AT4G04490	Frequent
AT4G04840	Short–Long Up
AT4G11960	Short–Long Up
AT4G15570	Short–Long Up
AT4G15765	Frequent
AT4G15910	Short–Long Up
AT4G18530	Short Up
AT4G21060	Short Up
AT4G22780	Short Up
AT4G22820	Short–Long Up
AT4G23060	Frequent
AT4G23180	Short Up
AT4G24160	Short–Long Up
AT4G24190	Short Up
AT4G25100	Short–Long Up
AT4G27030	Short Up
AT4G31310	Short–Long Up
AT4G32050	Short–Long Up
AT4G34138	Short–Long Up
AT4G34390	Short Up
AT4G34630	Short Up
AT4G35985	Short Up
AT4G36040	Frequent
AT4G36640	Short–Long Up
AT5G01850	Short–Long Up
AT5G03650	Short–Long Up
AT5G05580	Frequent
AT5G05990	Frequent
AT5G08380	Short–Long Up
AT5G08770	Short Up
AT5G14760	Short Up
AT5G17240	Short–Long Up
AT5G20380	Short–Long Up
AT5G23730	Short–Long Up
AT5G25120	Short–Long Up
AT5G37680	Short Up
AT5G38530	Short–Long Up
AT5G38895	Short–Long Up
AT5G39785	Short–Long Up
AT5G42270	Short–Long Up
AT5G48850	Short–Long Up
AT5G50460	Short Up
AT5G52120	Short Up–Down
AT5G53760	Short–Long Up
AT5G54130	Frequent
AT5G54300	Short–Long Up
AT5G55050	Short–Long Up
AT5G59550	Short Up–Down
AT5G60900	Short–Long Up
AT5G61350	Frequent
AT5G62620	Short Up
AT5G64170	Short–Long Up
AT5G64260	Short Up–Down
AT5G64810	Short–Long Up
AT5G65140	Frequent
AT5G65380	Short–Long Up
AT5G65880	Short–Long Up
AT5G66480	Short–Long Up
ATCG00020	Frequent
ATCG00330	Short Up
ATCG00350	Short Up–Down
AT1G02090	Short–Long Up
AT1G07440	Short–Long Up
AT1G09490	Short–Long Up
AT1G09970	Short Up
AT1G10410	Short Up
AT1G14810	Short Up
AT1G15430	Short Up
AT1G15520	Short–Long Up
AT1G16300	Short–Long Up
AT1G18210	Short Up
AT1G18400	Short–Long Up
AT1G21000	Frequent
AT1G21520	Frequent
AT1G25400	Short Up–Down
AT1G26340	Short–Long Up
AT1G49740	Short–Long Up
AT1G51140	Short–Long Up
AT1G52160	Short–Long Up
AT1G52370	Short–Long Up
AT1G52880	Short Up
AT1G53090	Short–Long Up
AT1G53320	Short Up
AT1G55450	Frequent
AT1G56340	Short Up
AT1G57820	Short–Long Up
AT1G61360	Short Up–Down
AT1G63090	Frequent
AT1G65860	Frequent
AT1G66580	Short–Long Up
AT1G69410	Short–Long Up
AT1G70985	Short Up–Long Down
AT1G72680	Frequent
AT1G72910	Frequent
AT1G73500	Short Up–Down
AT1G77400	Short Up–Down
AT1G77500	Short Up
AT1G77810	Short Up–Down
AT1G78020	Frequent
AT1G78080	Short Up
AT1G78380	Short–Long Up
AT2G02390	Short–Long Up
AT2G03760	Frequent
AT2G04350	Short–Long Up
AT2G05632	Short Up
AT2G13790	Short Up–Long Down
AT2G14460	Short Up
AT2G15080	Frequent
AT2G17240	Short Up
AT2G23350	Short–Long Up
AT2G23680	Short Up
AT2G24180	Short–Long Up
AT2G26860	Short–Long Up
AT2G27830	Short Up–Down
AT2G29630	Frequent
AT2G31200	Short–Long Up
AT2G31560	Short Up
AT2G31880	Short Up–Long Down
AT2G32510	Short Up
AT2G32640	Short–Long Up
AT2G32990	Frequent
AT2G34450	Short–Long Up
AT2G36580	Short–Long Up
AT2G36835	Short–Long Up
AT2G38290	Short Up–Down
AT2G39800	Short–Long Up
AT2G40950	Short Up
AT2G41140	Short Up
AT2G41730	Frequent
AT2G43320	Short Up
AT2G43510	Short–Long Up
AT2G44310	Short Up
AT2G44500	Frequent
AT2G45240	Short–Long Up
AT2G47460	Short–Long Up
AT3G03020	Short Up–Long Down
AT3G05360	Short–Long Up
AT3G06125	Short Up
AT3G08730	Short Up
AT3G12830	Short Up
AT3G13100	Short–Long Up
AT3G13620	Short–Long Up
AT3G14395	Short Up–Down
AT3G15354	Short Up
AT3G18440	Short–Long Up
AT3G20010	Short–Long Up
AT3G20600	Short Up–Long Down
AT3G23580	Short–Long Up
AT3G25120	Short Up
AT3G26960	Frequent
AT3G28220	Frequent
AT3G28900	Short Up
AT3G46620	Short Up
AT3G47430	Short Up
AT3G48800	Short Up
AT3G50480	Short Up–Long Down
AT3G52950	Short Up
AT3G53970	Short–Long Up
AT3G56710	Short Up–Down
AT3G57020	Short–Long Up
AT3G58830	Short Up
AT3G59080	Short Up–Down
AT3G62530	Short Up
AT3G63310	Short Up
AT4G02980	Short Up
AT4G05010	Short–Long Up
AT4G05110	Short–Long Up
AT4G08230	Short Up
AT4G09970	Short Up–Down
AT4G13710	Short Up
AT4G15610	Frequent
AT4G15680	Short Up–Long Down
AT4G17370	Short–Long Up
AT4G18700	Short Up
AT4G19450	Short Up
AT4G20880	Short–Long Up
AT4G21880	Short–Long Up
AT4G22990	Short–Long Up
AT4G23200	Short Up–Long Down
AT4G23680	Frequent
AT4G23670	Short–Long Up
AT4G24120	Frequent
AT4G29330	Short Up
AT4G30450	Short–Long Up
AT4G31700	Short Up
AT4G32870	Short Up
AT4G33550	Short–Long Up
AT4G34000	Short–Long Up
AT4G34060	Short–Long Up
AT4G34230	Short–Long Up
AT4G35550	Short–Long Up
AT4G36150	Frequent
AT4G36500	Frequent
AT4G37180	Short–Long Up
AT5G00980	Short Up
AT5G02500	Short Up
AT5G03160	Short–Long Up
AT5G03545	Frequent
AT5G07900	Short Up–Down
AT5G08710	Short–Long Up
AT5G11110	Short–Long Up
AT5G13550	Short–Long Up
AT5G15950	Short Up–Down
AT5G20000	Short–Long Up
AT5G22250	Short Up
AT5G23920	Short Up
AT5G26920	Short Up–Long Down
AT5G48480	Short Up
AT5G51130	Short–Long Up
AT5G52760	Short Up–Down
AT5G56000	Short Up
AT5G56980	Short Up
AT5G62070	Short Up
AT5G62130	Short–Long Up
AT5G62570	Short Up
AT5G65900	Short Up
AT5G65990	Short–Long Up
AT5G66090	Short–Long Up
ATCG00490	Short Up–Down
ATCG00680	Short Up
ATCG00720	Short Up
ATMG01390	Short Up–Down
AT1G01830	Short Up
AT1G07040	Frequent
AT1G07590	Short–Long Up
AT1G07840	Short Up
AT1G09080	Short–Long Up
AT1G11790	Short–Long Up
AT1G14040	Frequent
AT1G15110	Short Up
AT1G16410	Short Up–Long Down
AT1G20816	Short–Long Up
AT1G21350	Short–Long Up
AT1G22510	Short Up
AT1G24145	Short Up–Long Down
AT1G26230	Short–Long Up
AT1G27480	Short Up
AT1G29785	Short Up
AT1G30320	Short–Long Up
AT1G32860	Short–Long Up
AT1G33600	Short Up–Long Down
AT1G35140	Frequent
AT1G35660	Short–Long Up
AT1G47278	Short–Long Up
AT1G48650	Short–Long Up
AT1G53110	Short Up
AT1G55910	Short Up
AT1G56050	Frequent
AT1G56510	Short Up
AT1G62150	Short–Long Up
AT1G64970	Short–Long Up
AT1G65490	Short Up–Long Down
AT1G65660	Short–Long Up
AT1G66070	Short–Long Up
AT1G66400	Short Up–Down
AT1G68570	Frequent
AT1G76070	Short–Long Up
AT1G76130	Short Up
AT1G76620	Short Up
AT1G77370	Short–Long Up
AT1G78050	Short–Long Up
AT1G78100	Short Up
AT1G78290	Short Up
AT1G78590	Short–Long Up
AT1G80030	Short–Long Up
AT2G02955	Short–Long Up
AT2G21500	Short Up–Down
AT2G27200	Short Up–Down
AT2G28200	Short Up–Down
AT2G30600	Frequent
AT2G32150	Short Up–Long Down
AT2G33740	Short Up
AT2G33840	Short Up
AT2G35940	Short Up
AT2G36830	Short Up–Long Down
AT2G36870	Short–Long Up
AT2G37940	Short Up–Down
AT2G38310	Frequent
AT2G38465	Frequent
AT2G39210	Short Up–Long Down
AT2G39700	Frequent
AT2G39770	Short Up
AT2G41050	Short Up
AT2G43820	Frequent
AT2G44290	Short Up
AT2G46080	Short Up
AT2G47630	Short Up
AT3G02050	Short–Long Up
AT3G02060	Short–Long Up
AT3G02830	Short–Long Up
AT3G03420	Short–Long Up
AT3G05320	Short Up–Long Down
AT3G05650	Frequent
AT3G07195	Frequent
AT3G08860	Frequent
AT3G08990	Short–Long Up
AT3G11410	Short–Long Up
AT3G19000	Short–Long Up
AT3G19100	Short–Long Up
AT3G21790	Short–Long Up
AT3G21870	Short Up
AT3G22680	Short Up
AT3G24463	Short–Long Up
AT3G25570	Short Up–Long Down
AT3G27380	Short–Long Up
AT3G45210	Short Up–Down
AT3G45640	Frequent
AT3G46600	Short Up–Down
AT3G47080	Short–Long Up
AT3G47550	Short Up
AT3G47680	Short Up
AT3G49420	Short Up
AT3G50060	Frequent
AT3G52470	Short Up
AT3G53260	Short–Long Up
AT3G54960	Short Up
AT3G56620	Short–Long Up
AT3G57190	Short–Long Up
AT3G57520	Short Up–Down
AT3G62460	Frequent
AT4G00895	Short Up
AT4G01070	Short–Long Up
AT4G02410	Short Up
AT4G03200	Short–Long Up
AT4G04610	Short–Long Up
AT4G05070	Frequent
AT4G08170	Short Up
AT4G11570	Short–Long Up
AT4G13345	Short Up
AT4G15410	Short Up
AT4G16660	Short Up
AT4G21470	Short–Long Up
AT4G21580	Short–Long Up
AT4G22740	Short–Long Up
AT4G23270	Short Up
AT4G24240	Short Up
AT4G25390	Short–Long Up
AT4G25670	Short Up
AT4G27380	Short–Long Up
AT4G27820	Short Up
AT4G31860	Short–Long Up
AT4G33560	Short Up–Down
AT4G33660	Short–Long Up
AT4G35000	Short Up
AT4G36020	Short Up
AT4G38560	Short Up
AT4G39190	Short Up
AT4G39520	Short Up
AT5G01790	Short–Long Up
AT5G01990	Short Up
AT5G03030	Short–Long Up
AT5G03970	Short–Long Up
AT5G06290	Short Up
AT5G06760	Short–Long Up
AT5G07010	Frequent
AT5G07440	Short Up–Down
AT5G07460	Frequent
AT5G13070	Short Up
AT5G14640	Short–Long Up
AT5G15600	Short Up–Long Down
AT5G16600	Short Up–Down
AT5G17040	Frequent
AT5G18400	Short–Long Up
AT5G22290	Short–Long Up
AT5G28030	Short–Long Up
AT5G28830	Short–Long Up
AT5G37340	Short–Long Up
AT5G38430	Frequent
AT5G40390	Short Up
AT5G44568	Frequent
AT5G45340	Short Up–Down
AT5G45410	Short–Long Up
AT5G46490	Short Up
AT5G46830	Short–Long Up
AT5G47910	Short Up
AT5G54390	Short–Long Up
AT5G54710	Frequent
AT5G57180	Short–Long Up
AT5G57220	Frequent
AT5G57785	Short–Long Up
AT5G57900	Short–Long Up
AT5G58620	Short–Long Up
AT5G58800	Short–Long Up
AT5G59130	Short–Long Up
AT5G61020	Short Up
AT5G66460	Short–Long Up
AT5G66820	Short Up
ATMG00030	Short–Long Up
AT1G03055	Short–Long Up
AT1G03070	Short–Long Up
AT1G03470	Frequent
AT1G05690	Short Up
AT1G07870	Short–Long Up
AT1G10340	Short Up–Long Down
AT1G11780	Short Up
AT1G14010	Short Up
AT1G17530	Short–Long Up
AT1G18570	Frequent
AT1G18660	Short–Long Up
AT1G19700	Short Up
AT1G19970	Short–Long Up
AT1G20160	Short–Long Up
AT1G21130	Frequent
AT1G21400	Short–Long Up
AT1G21670	Short Up–Down
AT1G23205	Short–Long Up
AT1G24340	Short–Long Up
AT1G35230	Frequent
AT1G48600	Short–Long Up
AT1G52080	Short–Long Up
AT1G52560	Short–Long Up
AT1G57990	Frequent
AT1G60620	Short Up
AT1G61120	Short Up
AT1G62560	Short Up
AT1G63750	Short Up–Long Down
AT1G64680	Short–Long Up
AT1G65190	Short Up–Long Down
AT1G65840	Short Up
AT1G66350	Frequent
AT1G68340	Short Up
AT1G69800	Short Up
AT1G70090	Short Up–Down
AT1G73880	Short–Long Up
AT1G74810	Short–Long Up
AT2G01180	Short Up–Down
AT2G02760	Short Up–Down
AT2G03530	Frequent
AT2G14660	Short Up–Down
AT2G15390	Short Up–Long Down
AT2G17900	Short Up
AT2G18050	Frequent
AT2G18700	Frequent
AT2G24500	Short–Long Up
AT2G26690	Short Up
AT2G37630	Short Up
AT2G38530	Frequent
AT2G38640	Short–Long Up
AT2G39030	Short Up
AT2G40230	Frequent
AT2G40460	Frequent
AT2G40475	Short Up–Down
AT2G40830	Short Up
AT2G41312	Short–Long Up
AT2G41835	Short Up
AT2G43120	Short–Long Up
AT2G45920	Short–Long Up
AT2G46370	Short Up
AT2G46650	Short Up–Down
AT2G47470	Short Up
AT3G01440	Frequent
AT3G05800	Frequent
AT3G06660	Short–Long Up
AT3G10525	Short Up–Down
AT3G13910	Short–Long Up
AT3G14450	Short–Long Up
AT3G14590	Short Up
AT3G15020	Short–Long Up
AT3G15760	Short Up–Long Down
AT3G15770	Short Up–Long Down
AT3G15780	Frequent
AT3G16690	Frequent
AT3G17860	Short Up–Down
AT3G18280	Short–Long Up
AT3G19030	Frequent
AT3G19830	Short Up
AT3G20100	Short Up–Down
AT3G21215	Short Up
AT3G21250	Short–Long Up
AT3G21670	Frequent
AT3G22740	Short Up–Long Down
AT3G25020	Frequent
AT3G25410	Frequent
AT3G25590	Short Up–Down
AT3G26690	Short–Long Up
AT3G26910	Short Up
AT3G28510	Frequent
AT3G43270	Short–Long Up
AT3G45730	Frequent
AT3G47160	Frequent
AT3G47800	Frequent
AT3G51000	Short–Long Up
AT3G52370	Short–Long Up
AT3G52800	Short Up
AT3G52720	Short Up
AT3G53000	Short Up
AT3G55380	Short Up
AT3G55440	Short Up
AT3G55880	Short Up–Down
AT3G62590	Short–Long Up
AT3G63445	Short Up
AT3G66652	Short–Long Up
AT3G63530	Short Up
AT4G01550	Short–Long Up
AT4G01600	Short Up–Down
AT4G08570	Short–Long Up
AT4G10430	Short Up
AT4G11890	Frequent
AT4G12830	Short Up–Down
AT4G14220	Short Up
AT4G14385	Short Up
AT4G15700	Frequent
AT4G16140	Short Up–Long Down
AT4G16880	Frequent
AT4G17695	Short–Long Up
AT4G17880	Short Up
AT4G18205	Frequent
AT4G20090	Short–Long Up
AT4G23500	Short–Long Up
AT4G24130	Short–Long Up
AT4G29740	Frequent
AT4G32480	Frequent
AT4G33010	Short–Long Up
AT4G33050	Frequent
AT4G34120	Short–Long Up
AT4G34680	Short Up
AT4G34740	Short–Long Up
AT4G36360	Short–Long Up
AT4G37000	Short–Long Up
AT4G38740	Short Up
AT4G38810	Short Up
AT4G39090	Frequent
AT4G39235	Short–Long Up
AT5G01950	Short Up–Down
AT5G02280	Short–Long Up
AT5G03905	Short–Long Up
AT5G15740	Short–Long Up
AT5G17600	Short–Long Up
AT5G23760	Short–Long Up
AT5G23850	Short–Long Up
AT5G26820	Short Up
AT5G27990	Short–Long Up
AT5G39050	Frequent
AT5G40690	Frequent
AT5G40850	Short Up–Down
AT5G47070	Short Up–Down
AT5G51070	Short–Long Up
AT5G51830	Frequent
AT5G57630	Frequent
AT5G57990	Short–Long Up
AT5G58370	Short–Long Up
AT5G58430	Short Up–Down
AT5G60890	Short Up–Down
AT5G65840	Short–Long Up
AT5G65860	Short Up
AT5G65890	Short Up
AT5G66400	Short–Long Up
ATMG00020	Short Up–Down
AT1G01140	Short Up
AT1G02205	Short Up
AT1G05070	Short–Long Up
AT1G07670	Short Up
AT1G08300	Short Up
AT1G09240	Short Up
AT1G10650	Short Up
AT1G11130	Short Up
AT1G11390	Short–Long Up
AT1G12240	Short Up–Long Down
AT1G13390	Short Up
AT1G13930	Short Up–Down
AT1G15230	Short–Long Up
AT1G15710	Short Up
AT1G16080	Short Up
AT1G17290	Short Up
AT1G22840	Short Up
AT1G23740	Short Up
AT1G24147	Short Up–Long Down
AT1G29150	Short–Long Up
AT1G35350	Frequent
AT1G36370	Short–Long Up
AT1G43160	Short–Long Up
AT1G47500	Short Up
AT1G49050	Short Up
AT1G50420	Short–Long Up
AT1G51820	Short Up
AT1G52342	Short Up–Down
AT1G52870	Short Up
AT1G53470	Short–Long Up
AT1G55020	Short–Long Up
AT1G55810	Short Up
AT1G58340	Short–Long Up
AT1G61380	Short Up
AT1G63010	Short–Long Up
AT1G64080	Short–Long Up
AT1G64390	Short Up–Down
AT1G64810	Short–Long Up
AT1G67195	Short–Long Up
AT1G68440	Short Up
AT1G69252	Short Up–Down
AT1G69730	Short Up–Long Down
AT1G70420	Short Up–Down
AT1G73330	Frequent
AT1G76080	Short Up
AT1G76980	Short–Long Up
AT1G79410	Short Up
AT2G01918	Short Up
AT2G02990	Short–Long Up
AT2G05710	Short Up
AT2G17220	Short Up
AT2G18193	Short–Long Up
AT2G21970	Short–Long Up
AT2G22100	Short Up
AT2G22470	Short–Long Up
AT2G23150	Short–Long Up
AT2G23950	Short Up
AT2G24260	Short–Long Up
AT2G26190	Frequent
AT2G28510	Short Up
AT2G28570	Short–Long Up
AT2G30150	Short Up
AT2G30540	Short–Long Up
AT2G32295	Short Up
AT2G32500	Short Up
AT2G33530	Short Up
AT2G34720	Short Up
AT2G37870	Short–Long Up
AT2G38185	Short–Long Up
AT2G38280	Short Up
AT2G39200	Short Up–Long Down
AT2G40300	Short–Long Up
AT2G41110	Frequent
AT2G41475	Short Up
AT2G42620	Short Up
AT2G44600	Short Up
AT2G45950	Short Up
AT2G46140	Short Up
AT2G46320	Short Up
AT2G46680	Short–Long Up
AT2G46830	Short Up–Long Down
AT2G47370	Short–Long Up
AT3G02020	Frequent
AT3G03470	Short–Long Up
AT3G03640	Short Up
AT3G03770	Short Up
AT3G04030	Short Up–Down
AT3G04140	Short Up–Down
AT3G04460	Short–Long Up
AT3G05165	Short–Long Up
AT3G06345	Short–Long Up
AT3G06760	Short Up
AT3G08740	Short Up
AT3G09600	Short Up
AT3G09940	Frequent
