Gene1	Gene2	Correlation	source
AT2G28450	AT3G57940	0.306037697144992	GENIE&WGCNA
AT4G27410	AT3G25780	0.305831313501147	GENIE&WGCNA
AT2G02740	AT1G59990	0.305775430574684	GENIE&WGCNA
AT3G02150	AT4G21910	0.305663031096881	GENIE&WGCNA
AT3G02150	AT5G09620	0.305174845556616	GENIE&WGCNA
AT3G16870	AT4G35630	0.305022077108712	GENIE&WGCNA
AT2G28450	AT5G22330	0.30486955858919	GENIE&WGCNA
AT5G63420	AT2G34640	0.304660316627777	GENIE&WGCNA
AT1G42990	AT3G52400	0.304471705241816	GENIE&WGCNA
AT4G34990	AT5G62210	0.303883784585529	GENIE&WGCNA
AT5G49330	AT2G30490	0.303584048649458	GENIE&WGCNA
AT5G53290	AT5G49480	0.303530252238113	GENIE&WGCNA
AT4G00238	AT1G23280	0.303400500947625	GENIE&WGCNA
AT1G62300	AT2G29490	0.302999868218126	GENIE&WGCNA
AT1G71260	AT2G04530	0.302991582623689	GENIE&WGCNA
AT2G28450	AT2G43650	0.302980375455246	GENIE&WGCNA
AT5G53290	AT3G16870	0.302868253817452	GENIE&WGCNA
AT4G34990	AT2G37040	0.302802838243168	GENIE&WGCNA
AT1G71260	AT2G44640	0.302670476007944	GENIE&WGCNA
AT2G28450	AT1G17690	0.302446113413729	GENIE&WGCNA
AT4G34990	AT3G53260	0.301810117983157	GENIE&WGCNA
AT2G28450	AT1G49540	0.301564770290875	GENIE&WGCNA
AT4G39160	AT1G77030	0.301528723286514	GENIE&WGCNA
AT2G02740	AT2G33210	0.301010229047981	GENIE&WGCNA
AT1G71260	AT4G20130	0.30100089026576	GENIE&WGCNA
AT5G63420	AT5G53920	0.300739297333215	GENIE&WGCNA
AT3G02150	AT3G16870	0.300565478930127	GENIE&WGCNA
