Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family
AT5G65310	AT4G22010	0.49854278609607805	Short Down–Long Up	Short–Long Down	Down	Down	9	11	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short–Long Down	HD-ZIP	NA
AT1G30330	AT3G26700	0.4979335977452703	Short Down	Short Down	Down	Down	3	4	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT4G34590	AT3G52900	0.4976157020315931	Short–Long Up	Short Down	Up	Down	8	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Up	Short Down	bZIP	NA
AT5G43270	AT1G52150	0.4974166866636312	Short Down	Short Down	Down	Down	9	4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	SBP	HD-ZIP
AT2G26150	AT3G16050	0.4973858449468436	Short Up–Down	Frequent	Mixed	Up	15	17	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Frequent	HSF	NA
AT4G34590	AT3G23730	0.49725725789421504	Short–Long Up	Frequent	Up	Down	8	12	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Up	Frequent	bZIP	NA
AT1G30330	AT5G15780	0.4969324659261455	Short Down	Short–Long Down	Down	Down	3	6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	FALSE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short–Long Down	ARF	NA
AT5G60200	AT3G59010	0.49679946319142687	Short Down	Short Down	Down	Down	4	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Dof	NA
AT2G26150	AT2G25140	0.49633181661897813	Short Up–Down	Short Up–Down	Mixed	Mixed	15	15	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Down	HSF	NA
AT5G65310	AT1G33800	0.49608527640930816	Short Down–Long Up	Short Down	Down	Down	9	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short Down	HD-ZIP	NA
AT2G26150	AT1G66080	0.494017248301995	Short Up–Down	Short Up	Mixed	Up	15	13	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	HSF	NA
AT2G42200	AT3G07540	0.4936129914480788	Frequent	Short–Long Down	Up	Down	10	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Frequent	Short–Long Down	SBP	NA
AT2G26150	AT3G24500	0.49346657377966013	Short Up–Down	Frequent	Mixed	Up	15	14	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Frequent	HSF	NA
AT4G36990	AT5G54165	0.49311859453267115	Short Up–Down	Short Up	Mixed	Up	15	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	HSF	NA
AT1G30330	AT3G54930	0.49309054560200694	Short Down	Short Down	Down	Down	3	4	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT3G51910	AT4G15420	0.49246865100657194	Short Up–Down	Short Up	Mixed	Up	16	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	HSF	NA
AT4G37650	AT5G61420	0.4924258245926583	Short Down	Short Down	Down	Down	8	4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	GRAS	MYB
AT2G42200	AT2G31110	0.49200102447624483	Frequent	Short–Long Down	Up	Down	10	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Frequent	Short–Long Down	SBP	NA
AT2G26150	AT2G46240	0.491468866804497	Short Up–Down	Short–Long Up	Mixed	Up	15	13	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short–Long Up	HSF	NA
AT2G26150	AT2G20560	0.4908861279456756	Short Up–Down	Short Up–Down	Mixed	Mixed	15	17	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Down	HSF	NA
AT1G69780	AT4G09890	0.49036438729906034	Short–Long Down	Short–Long Down	Down	Down	7	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Down	HD-ZIP	NA
AT4G34590	AT5G57685	0.49002170887040625	Short–Long Up	Short Down	Up	Down	8	8	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Up	Short Down	bZIP	NA
AT4G34590	AT1G25530	0.48994359456255704	Short–Long Up	Short Down	Up	Down	8	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Up	Short Down	bZIP	NA
AT5G23280	AT4G27435	0.4897917908870846	Short–Long Down	Short Down	Down	Down	5	4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	TCP	NA
AT1G30330	AT1G52140	0.48973552022625555	Short Down	Short Down	Down	Down	3	3	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	photo-gene	TRUE	TRUE	GENIE&WGCNA	Photoreceptor, Short Down	Short Down	ARF	NA
AT2G26150	AT1G74310	0.4891762917427122	Short Up–Down	Short Up–Down	Mixed	Mixed	15	17	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up–Down	Short Up–Down	HSF	NA
AT5G65310	AT5G06610	0.4881902643292499	Short Down–Long Up	Short Down	Down	Down	9	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	Short Down	HD-ZIP	NA
AT5G60690	AT5G65000	0.4874813222344693	Short Down	Short Up	Down	Up	3	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up	HD-ZIP	NA
AT1G62990	AT4G34590	0.48651310864580327	Short Down	Short–Long Up	Down	Up	4	8	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	TF, Short–Long Up	TALE	bZIP
AT1G69690	AT5G55480	0.48645702444172717	Short Down	Short Down	Down	Down	4	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	TCP	NA
AT5G65310	AT4G37650	0.4861569169093126	Short Down–Long Up	Short Down	Down	Down	9	8	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	FALSE	TRUE	GENIE&WGCNA	TF, Short Down–Long Up	TF, Short Down	HD-ZIP	GRAS
AT5G43270	AT3G12110	0.48587204624125435	Short Down	Short–Long Down	Down	Down	9	9	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	SBP	NA
AT4G01120	AT5G19780	0.4836069301212745	Short Up–Long Down	Short Down	Up	Down	4	4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Long Down	Short Down	bZIP	NA
AT1G28310	AT3G17100	0.4833477769974468	Short Down	Short–Long Down	Down	Down	4	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Down	Short–Long Down	Dof	NA
AT5G60690	AT1G07670	0.4829430888225378	Short Down	Short Up	Down	Up	3	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up	HD-ZIP	NA
AT5G60200	AT5G22740	0.4827546722266077	Short Down	Short Down	Down	Down	4	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Dof	NA
